route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
PTR-GDN-3901,477,2987788,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987789,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987790,1,Northgate Shop Centre,83564
PTR-GDN-3902,493,2987795,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987796,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987797,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987798,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987799,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987800,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987801,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987802,1,Northgate Shop Centre,83565
PTR-GDN-3902,475,2987803,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987804,1,Northgate Shop Centre,83565
PHN-PTH-3505,477,2987809,1,South Hedland Terminus,83566
PHN-PTH-3505,477,2987810,1,South Hedland Terminus,83566
PHN-PTH-3505,353,2987811,1,South Hedland Terminus,83566
PHN-PTH-3505,353,2987812,1,South Hedland Terminus,83566
PHN-PTH-3505,353,2987813,1,South Hedland Terminus,83566
PHN-PTH-3505,353,2987814,1,South Hedland Terminus,83566
PHN-PTH-3505,477,2987817,1,South Hedland Terminus,83567
PHN-PTH-3505,477,2987818,1,South Hedland Terminus,83567
PHN-PTH-3505,353,2987819,1,South Hedland Terminus,83567
PHN-PTH-3505,353,2987820,1,South Hedland Terminus,83567
PHN-PTH-3505,353,2987821,1,South Hedland Terminus,83567
PHN-PTH-3505,477,2987824,0,Port Hedland Terminus,83568
PHN-PTH-3505,477,2987825,0,Port Hedland Terminus,83568
PHN-PTH-3505,353,2987826,0,Port Hedland Terminus,83568
PHN-PTH-3505,353,2987827,0,Port Hedland Terminus,83568
PHN-PTH-3505,353,2987828,0,Port Hedland Terminus,83568
PHN-PTH-3505,353,2987829,0,Port Hedland Terminus,83568
PHN-PTH-3505,477,2987832,0,Port Hedland Terminus,83569
PHN-PTH-3505,477,2987833,0,Port Hedland Terminus,83569
PHN-PTH-3505,353,2987834,0,Port Hedland Terminus,83569
PHN-PTH-3505,353,2987835,0,Port Hedland Terminus,83569
PHN-PTH-3506,477,2987838,1,South Hedland Terminus,83570
PHN-PTH-3506,477,2987839,1,South Hedland Terminus,83570
PHN-PTH-3506,477,2987840,1,South Hedland Terminus,83570
PHN-PTH-3506,353,2987841,1,South Hedland Terminus,83570
PHN-PTH-3506,353,2987842,1,South Hedland Terminus,83570
PHN-PTH-3506,353,2987843,1,South Hedland Terminus,83570
PHN-PTH-3506,353,2987844,1,South Hedland Terminus,83570
PHN-PTH-3506,353,2987845,1,South Hedland Terminus,83570
PHN-PTH-3507,477,2987849,1,South Hedland Terminus,83571
PHN-PTH-3507,477,2987850,1,South Hedland Terminus,83571
PHN-PTH-3507,353,2987851,1,South Hedland Terminus,83571
PHN-PTH-3507,353,2987852,1,South Hedland Terminus,83571
PHN-PTH-3507,353,2987853,1,South Hedland Terminus,83571
PHN-PTH-3507,353,2987854,1,South Hedland Terminus,83571
PHN-PTH-3507,353,2987855,1,South Hedland Terminus,83571
TRA-TRA-3826,414,3028564,1,Boyup Brook,84476
TRA-TRA-3826,415,3028565,1,Bunbury Passenger,84477
TRA-TRA-2149,215,3028566,1,Pemberton,84478
TRA-TRA-2149,216,3028567,0,East Perth,84479
GWB-KAR-3712,475,3032448,1,Dampier,84531
GWB-KAR-3713,72,3032453,0,Frank Butler Centre,84533
GWB-KAR-3713,72,3032454,0,Point Samson,84534
GWB-KAR-3713,475,3032455,0,Point Samson,84535
PTR-GDN-3896,473,3143267,1,Drummond Cove,86322
WES-RAI-1830,S87792_358,3272542,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272543,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272544,0,Perth Stn,87792
